LotArea,Neighborhood,Condition,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemod,BsmtFinSF,TotalBsmtSF,Heating,CentralAir,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageFinish,GarageCars,GarageArea,YrSold,SalePrice
31770,NAmes,Norm,1Fam,1Story,6,5,1960,1960,639,1080,GasA,Y,1,0,3,1,7,2,Attchd,Fin,2,528,2010,215000
11622,NAmes,Feedr,1Fam,1Story,5,6,1961,1961,468,882,GasA,Y,1,0,2,1,5,0,Attchd,Unf,1,730,2010,105000
14267,NAmes,Norm,1Fam,1Story,6,6,1958,1958,923,1329,GasA,Y,1,1,3,1,6,0,Attchd,Unf,1,312,2010,172000
11160,NAmes,Norm,1Fam,1Story,7,5,1968,1968,1065,2110,GasA,Y,2,1,3,1,8,2,Attchd,Fin,2,522,2010,244000
13830,Gilbert,Norm,1Fam,2Story,5,5,1997,1998,791,928,GasA,Y,2,1,3,1,6,1,Attchd,Fin,2,482,2010,189900
9978,Gilbert,Norm,1Fam,2Story,6,6,1998,1998,602,926,GasA,Y,2,1,3,1,7,1,Attchd,Fin,2,470,2010,195500
4920,StoneBr,Norm,TwnhsE,1Story,8,5,2001,2001,616,1338,GasA,Y,2,0,2,1,6,0,Attchd,Fin,2,582,2010,213500
5005,StoneBr,Norm,TwnhsE,1Story,8,5,1992,1992,263,1280,GasA,Y,2,0,2,1,5,0,Attchd,RFn,2,506,2010,191500
5389,StoneBr,Norm,TwnhsE,1Story,8,5,1995,1996,1180,1595,GasA,Y,2,0,2,1,5,1,Attchd,RFn,2,608,2010,236500
7500,Gilbert,Norm,1Fam,2Story,7,5,1999,1999,0,994,GasA,Y,2,1,3,1,7,1,Attchd,Fin,2,442,2010,189000
10000,Gilbert,Norm,1Fam,2Story,6,5,1993,1994,0,763,GasA,Y,2,1,3,1,7,1,Attchd,Fin,2,440,2010,175900
7980,Gilbert,Norm,1Fam,1Story,6,7,1992,2007,935,1168,GasA,Y,2,0,3,1,6,0,Attchd,Fin,2,420,2010,185000
8402,Gilbert,Norm,1Fam,2Story,6,5,1998,1998,0,789,GasA,Y,2,1,3,1,7,1,Attchd,Fin,2,393,2010,180400
10176,Gilbert,Norm,1Fam,1Story,7,5,1990,1990,637,1300,GasA,Y,1,1,2,1,5,1,Attchd,Unf,2,506,2010,171500
6820,StoneBr,Norm,TwnhsE,1Story,8,5,1985,1985,368,1488,GasA,Y,1,1,1,1,4,0,Attchd,RFn,2,528,2010,212000
53504,StoneBr,Norm,1Fam,2Story,8,5,2003,2003,1416,1650,GasA,Y,3,1,4,1,12,1,BuiltIn,Fin,3,841,2010,538000
12134,Gilbert,Norm,1Fam,1.5Fin,8,7,1988,2005,427,559,GasA,Y,2,0,4,1,8,0,Basment,RFn,2,492,2010,164000
11394,StoneBr,Norm,1Fam,1Story,9,2,2010,2010,1445,1856,GasA,Y,1,1,1,1,8,1,Attchd,Fin,3,834,2010,394432
19138,Gilbert,Norm,1Fam,1Story,4,5,1951,1951,120,864,GasA,Y,1,0,2,1,4,0,Detchd,Unf,2,400,2010,141000
13175,NWAmes,Norm,1Fam,1Story,6,6,1978,1988,790,1542,GasA,Y,2,0,3,1,7,2,Attchd,Unf,2,500,2010,210000
11751,NWAmes,Norm,1Fam,1Story,6,6,1977,1977,705,1844,GasA,Y,2,0,3,1,7,1,Attchd,RFn,2,546,2010,190000
10625,NWAmes,Norm,1Fam,SFoyer,7,6,1974,1974,885,1053,GasA,Y,2,0,3,1,6,2,Attchd,RFn,2,528,2010,170000
7500,Somerst,Norm,1Fam,2Story,7,5,2000,2000,533,814,GasA,Y,2,1,3,1,7,0,Attchd,RFn,2,663,2010,216000
11241,NAmes,Norm,1Fam,1Story,6,7,1970,1970,578,1004,GasA,Y,1,0,2,1,5,1,Attchd,Fin,2,480,2010,149000
12537,NAmes,Norm,1Fam,1Story,5,6,1971,2008,734,1078,GasA,Y,1,1,3,1,6,1,Attchd,Fin,2,500,2010,149900
8450,NAmes,Norm,1Fam,1Story,5,6,1968,1968,775,1056,GasA,Y,1,0,3,1,6,1,Attchd,Unf,1,304,2010,142000
8400,NAmes,Norm,1Fam,1Story,4,5,1970,1970,804,882,GasA,Y,1,0,2,1,4,0,Attchd,Fin,2,525,2010,126000
10500,NAmes,Norm,1Fam,1Story,4,5,1971,1971,432,864,GasA,Y,1,0,3,1,5,1,NA,NA,0,0,2010,115000
5858,NAmes,Norm,TwnhsE,1Story,7,5,1999,1999,1051,1405,GasA,Y,2,0,2,1,5,1,Attchd,Fin,2,511,2010,184000
1680,BrDale,Norm,Twnhs,2Story,6,5,1971,1971,156,483,GasA,Y,1,1,2,1,5,0,Detchd,Unf,1,264,2010,96000
1680,BrDale,Norm,Twnhs,2Story,5,5,1971,1971,300,525,GasA,Y,1,1,3,1,6,0,Detchd,Unf,1,320,2010,105500
1680,BrDale,Norm,Twnhs,2Story,6,5,1971,1971,0,525,GasA,Y,1,1,3,1,6,0,Detchd,Unf,1,264,2010,88000
4043,NPkVill,Norm,TwnhsE,1Story,6,5,1977,1977,360,1069,GasA,Y,2,0,2,1,4,1,Attchd,RFn,2,440,2010,127500
2280,NPkVill,Norm,Twnhs,2Story,6,6,1975,1975,514,855,GasA,Y,2,1,3,1,6,1,Attchd,Unf,2,440,2010,149900
2280,NPkVill,Norm,Twnhs,1Story,7,6,1975,1975,0,836,GasA,Y,1,0,2,1,4,0,Attchd,Unf,1,308,2010,120000
2280,NPkVill,Norm,Twnhs,2Story,6,5,1978,1978,311,855,GasA,Y,2,1,3,1,7,1,Attchd,Unf,2,440,2010,146000
12858,NridgHt,Norm,1Fam,2Story,9,5,2009,2010,0,1590,GasA,Y,2,1,3,1,10,1,Attchd,Fin,3,751,2010,376162
11478,NridgHt,Norm,1Fam,1Story,8,5,2007,2008,1218,1704,GasA,Y,2,0,3,1,7,1,Attchd,RFn,3,772,2010,306000
10159,NridgHt,Norm,1Fam,1Story,9,5,2009,2010,1646,1930,GasA,Y,2,1,3,1,8,1,Attchd,Fin,3,606,2010,395192
12883,NridgHt,Norm,1Fam,1Story,8,5,2009,2010,0,1544,GasA,Y,2,0,3,1,7,0,Attchd,RFn,3,868,2010,290941
12182,NridgHt,Norm,1Fam,1Story,7,5,2005,2005,1201,1541,GasA,Y,2,0,3,1,7,1,Attchd,RFn,2,532,2010,220000
11520,NridgHt,PosN,1Fam,1Story,9,5,2005,2005,110,1698,GasA,Y,2,0,3,1,7,1,Attchd,Fin,3,730,2010,275000
14122,NridgHt,Norm,1Fam,1Story,8,5,2005,2006,28,1822,GasA,Y,2,0,3,1,8,1,Attchd,RFn,3,678,2010,259000
10171,NridgHt,Norm,1Fam,1Story,7,5,2004,2004,2,1517,GasA,Y,2,0,3,1,7,0,Attchd,RFn,2,532,2010,214000
12919,NridgHt,Norm,1Fam,1Story,9,5,2009,2010,2188,2330,GasA,Y,2,1,2,1,11,2,Attchd,Fin,3,820,2010,611657
6371,NridgHt,Norm,TwnhsE,1Story,7,5,2009,2010,733,1358,GasA,Y,2,0,2,1,6,1,Attchd,RFn,2,484,2010,224000
14300,NridgHt,Norm,1Fam,1Story,9,5,2003,2004,1373,2846,GasA,Y,2,1,3,1,10,2,Attchd,Fin,3,958,2010,500000
13650,NridgHt,Norm,1Fam,2Story,8,5,2002,2002,578,1671,GasA,Y,2,1,3,1,7,1,Attchd,Fin,3,756,2010,320000
7658,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,456,1752,GasA,Y,2,0,2,1,6,1,Attchd,RFn,2,576,2010,319900
7132,NridgHt,Norm,TwnhsE,1Story,8,5,2006,2006,24,1370,GasA,Y,2,0,2,1,6,1,Attchd,RFn,2,484,2010,205000
2628,NridgHt,Norm,Twnhs,2Story,7,5,2003,2003,0,764,GasA,Y,2,1,2,1,6,0,BuiltIn,RFn,2,474,2010,175500
